1,的,8302698,3.2074998098725,3.2074998098725,962.24994296175
2,一,3728398,4.6478552071336,1.4403553972611,432.10661917833
3,不,3083707,5.8391534593647,1.1912982522311,357.38947566933
4,是,3017244,7.0047757132801,1.1656222539154,349.68667617462
5,了,2588626,8.004814183044,1.0000384697639,300.01154092917
6,人,2508086,8.9737384252775,0.9689242422335,290.67727267005
7,在,2265802,9.8490634683188,0.8753250430413,262.59751291239
8,有,2249248,10.717993367052,0.8689298987332,260.67896961996
9,我,1939038,11.467082881851,0.749089514799,224.7268544397
10,他,1835410,12.176138808736,0.709055926885,212.7167780655
11,这,1735712,12.846679386027,0.670540577291,201.1621731873
12,为,1484873,13.420315794961,0.573636408934,172.0909226802
13,之,1459824,13.984275269634,0.563959474673,169.1878424019
14,来,1441611,14.541198694816,0.556923425182,167.0770275546
15,大,1414057,15.087477453678,0.546278758862,163.8836276586
16,以,1410167,15.632253427029,0.544775973351,163.4327920053
17,个,1390372,16.169382192359,0.53712876533,161.138629599
18,中,1383908,16.704013784028,0.534631591669,160.3894775007
19,上,1371195,17.233734087211,0.529720303183,158.9160909549
20,们,1233633,17.710311413395,0.476577326184,142.9731978552
21,到,1122933,18.144123095332,0.433811681937,130.1435045811
22,说,1109652,18.572804058921,0.428680963589,128.6042890767
23,国,1104141,18.999356011982,0.426551953061,127.9655859183
24,和,1088033,19.419685119536,0.420329107554,126.0987322662
25,地,1068947,19.83264092008,0.412955800544,123.8867401632
26,也,1046455,20.23690760707,0.40426668699,121.280006097
27,子,1035711,20.637023670015,0.400116062945,120.0348188835
28,时,1024324,21.032740705038,0.395717035023,118.7151105069
29,道,975124,21.409450787062,0.376710082024,113.0130246072
30,出,953481,21.777799741368,0.368348954306,110.5046862918
31,而,929477,22.136875466004,0.359075724636,107.7227173908
32,要,923479,22.493634042182,0.356758576178,107.0275728534
33,于,899185,22.841007355838,0.347373313656,104.2119940968
34,就,896623,23.187390917184,0.346383561346,103.9150684038
35,下,890602,23.53144844471,0.344057527526,103.2172582578
36,得,889089,23.874921469799,0.343473025089,103.0419075267
37,可,882946,24.216021330004,0.341099860205,102.3299580615
38,你,873080,24.553309755285,0.337288425281,101.1865275843
39,年,856439,24.884169426403,0.330859671118,99.2579013354
40,生,825031,25.202895553216,0.318726126813,95.6178380439
41,自,805928,25.514241805575,0.311346252359,93.4038757077
42,会,799450,25.82308547579,0.308843670215,92.6531010645
43,那,787003,26.127120618688,0.304035142898,91.2105428694
44,后,768948,26.424180750684,0.297060131996,89.1180395988
45,能,757975,26.717001791313,0.292821040629,87.8463121887
46,对,753470,27.008082459518,0.291080668205,87.3242004615
47,着,746931,27.296636980047,0.288554520529,86.5663561587
48,事,727218,27.57757597081,0.280938990763,84.2816972289
49,其,705736,27.850216031405,0.272640060595,81.7920181785
50,里,703578,28.122022413045,0.27180638164,81.541914492
51,所,702060,28.393242360648,0.271219947603,81.3659842809
52,去,693796,28.661269758259,0.268027397611,80.4082192833
53,行,693612,28.929226072956,0.267956314697,80.3868944091
54,过,688510,29.19521138208,0.265985309124,79.7955927372
55,家,684994,29.459838389442,0.264627007362,79.3881022086
56,十,642830,29.708176592611,0.248338203169,74.5014609507
57,用,631677,29.952206166781,0.24402957417,73.208872251
58,发,628955,30.195184177413,0.242978010632,72.8934031896
59,天,625527,30.436837882458,0.241653705045,72.4961115135
60,如,624014,30.677907085067,0.241069202609,72.3207607827
61,然,623602,30.91881712376,0.240910038693,72.2730116079
62,作,620223,31.158421786555,0.239604662795,71.8813988385
63,方,588952,31.38594583091,0.227524044355,68.2572133065
64,成,586444,31.612500984247,0.226555153337,67.9665460011
65,者,580331,31.836694562306,0.224193578059,67.2580734177
66,多,578867,32.060322567617,0.223628005311,67.0884015933
67,日,570839,32.2808491945,0.220526626883,66.1579880649
68,都,566108,32.499548140598,0.218698946098,65.6096838294
69,三,563056,32.717068037498,0.2175198969,65.25596907
70,小,552432,32.930483668774,0.213415631276,64.0246893828
71,军,551130,33.143396311172,0.212912642398,63.8737927194
72,二,549803,33.355796306688,0.212399995516,63.7199986548
73,无,549739,33.568171577712,0.212375271024,63.7125813072
74,同,547305,33.77960654541,0.211434967698,63.4304903094
75,么,540353,33.988355815198,0.208749269788,62.6247809364
76,经,534113,34.194694447044,0.206338631846,61.9015895538
77,法,532100,34.400255416362,0.205560969318,61.6682907954
78,当,531549,34.605603523259,0.205348106897,61.6044320691
79,起,527805,34.809505247391,0.203901724132,61.1705172396
80,与,527717,35.013372975347,0.203867727956,61.1603183868
81,好,523853,35.215747962117,0.20237498677,60.712496031
82,看,522612,35.417643525539,0.201895563422,60.5686690266
83,学,519314,35.618265004998,0.200621479459,60.1864438377
84,进,519121,35.818811924663,0.200546919665,60.1640758995
85,种,518324,36.019050947141,0.200239022478,60.0717067434
86,将,515931,36.218365505421,0.19931455828,59.794367484
87,还,515814,36.417634864241,0.19926935882,59.780807646
88,分,513236,36.615908289628,0.198273425387,59.4820276161
89,此,509513,36.812743444975,0.196835155347,59.0505466041
90,心,509223,37.009466567469,0.196723122494,59.0169367482
91,前,502905,37.203748919047,0.194282351578,58.2847054734
92,面,500323,37.397033791913,0.193284872866,57.9854618598
93,又,499259,37.589907620105,0.192873828192,57.8621484576
94,定,498753,37.782585970283,0.192678350178,57.8035050534
95,见,494388,37.973578032864,0.190992062581,57.2976187743
96,只,492220,38.163732553288,0.190154520424,57.0463561272
97,主,488294,38.352370380674,0.188637827386,56.5913482158
98,没,482203,38.538655131826,0.186284751152,55.8854253456
